Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (GBP),Total (GBP),Withholding tax,Currency (Withholding tax),Charge amount (GBP),Stamp duty reserve tax (GBP),Transaction fee (GBP),Finra fee (GBP),Notes,ID,Currency conversion fee (GBP)
Limit buy,19/01/2021 14:56,DUMMY ISIN 999,ORBC,ORBCOMM ,8,6,USD,1.36082,,35.27285019,,,,,,,Dummy Data,ABCABC,
Limit buy,25/01/2021 15:01,DUMMY ISIN 999,LMND,Lemonade,2,183,USD,1.3656,,268.0140598,,,,,,,Dummy Data,ABCABC,
Deposit,25/01/2021 16:11,DUMMY ISIN 999,,,,,,,,2000,,,2000,,,,Dummy Data,ABCABC,
Limit buy,25/01/2021 16:31,DUMMY ISIN 999,LMND,Lemonade,1,174,USD,1.36483,,127.4884051,,,,,,,Dummy Data,ABCABC,
Limit buy,25/01/2021 16:33,DUMMY ISIN 999,GS,Goldman Sachs Group,2,317,USD,1.36527,,464.3770097,,,,,,,Dummy Data,ABCABC,
Limit buy,25/01/2021 18:00,DUMMY ISIN 999,LMND,Lemonade,1,173,USD,1.36677,,126.5757955,,,,,,,Dummy Data,ABCABC,
Limit sell,26/01/2021 15:43,DUMMY ISIN 999,ORBC,ORBCOMM ,8,10,USD,1.3738,,58.23263939,,,,,,0,Dummy Data,ABCABC,
Limit buy,26/01/2021 17:27,DUMMY ISIN 999,LMND,Lemonade,2,170,USD,1.37237,,247.7465989,,,,,,,Dummy Data,ABCABC,
Limit buy,26/01/2021 17:47,DUMMY ISIN 999,SOFI,SoFi Technologies,17,23,USD,1.37297,,284.7840812,,,,,,,Dummy Data,ABCABC,
Limit buy,26/01/2021 18:14,DUMMY ISIN 999,SOFI,SoFi Technologies,10,23,USD,1.37346,,167.4602828,,,,,,,Dummy Data,ABCABC,
Limit buy,26/01/2021 19:41,DUMMY ISIN 999,SOFI,SoFi Technologies,5,23,USD,1.37332,,83.73867707,,,,,,,Dummy Data,ABCABC,
Limit buy,27/01/2021 16:42,DUMMY ISIN 999,SOFI,SoFi Technologies,8,22,USD,1.36993,,128.4737176,,,,,,,Dummy Data,ABCABC,
Limit buy,28/01/2021 16:35,DUMMY ISIN 999,GS,Goldman Sachs Group,1,315,USD,1.37243,,229.5199027,,,,,,,Dummy Data,ABCABC,
Limit buy,28/01/2021 16:35,DUMMY ISIN 999,LMND,Lemonade,2,169,USD,1.37233,,246.2964447,,,,,,,Dummy Data,ABCABC,
Limit buy,28/01/2021 17:51,DUMMY ISIN 999,GS,Goldman Sachs Group,1,316,USD,1.37281,,230.1848034,,,,,,,Dummy Data,ABCABC,
Limit buy,29/01/2021 18:57,DUMMY ISIN 999,LMND,Lemonade,2,163,USD,1.37103,,237.7774374,,,,,,,Dummy Data,ABCABC,
Limit sell,01/02/2021 15:17,DUMMY ISIN 999,SOFI,SoFi Technologies,40,32,USD,1.36828,,935.4810419,,,,,0.02,0,Dummy Data,ABCABC,
Limit buy,01/02/2021 15:36,DUMMY ISIN 999,TSLA,Tesla,1,920,USD,1.36713,,672.9425878,,,,,,,Dummy Data,ABCABC,
Limit buy,05/02/2021 15:05,DUMMY ISIN 999,LMND,Lemonade,2,164,USD,1.37206,,239.056601,,,,,,,Dummy Data,ABCABC,
Limit sell,09/02/2021 16:05,DUMMY ISIN 999,BABA,Alibaba,8,301,USD,1.3795,,1745.559986,,,,,0.03,0,Dummy Data,ABCABC,
Limit buy,10/02/2021 15:07,DUMMY ISIN 999,TSLA,Tesla,1,940,USD,1.38517,,678.6170651,,,,,,,Dummy Data,ABCABC,
Limit buy,10/02/2021 15:12,DUMMY ISIN 999,TSLA,Tesla,1,934,USD,1.38542,,674.1637915,,,,,,,Dummy Data,ABCABC,
Deposit,10/02/2021 15:12,DUMMY ISIN 999,,,,,,,,5000,,,5000,,,,Dummy Data,ABCABC,
Limit buy,10/02/2021 15:19,DUMMY ISIN 999,TSLA,Tesla,1,929,USD,1.38593,,670.3080242,,,,,,,Dummy Data,ABCABC,
Limit sell,10/02/2021 15:25,DUMMY ISIN 999,LMND,Lemonade,12,173,USD,1.38494,,1498.981905,,,,,0.03,0,Dummy Data,ABCABC,
Limit buy,10/02/2021 15:30,DUMMY ISIN 999,TSLA,Tesla,1,923,USD,1.38495,,666.4500523,,,,,,,Dummy Data,ABCABC,
Limit buy,10/02/2021 16:08,DUMMY ISIN 999,TSLA,Tesla,1,923,USD,1.38393,,666.941247,,,,,,,Dummy Data,ABCABC,
Limit buy,10/02/2021 16:09,DUMMY ISIN 999,TSLA,Tesla,1,922,USD,1.38409,,666.1416526,,,,,,,Dummy Data,ABCABC,
Limit buy,12/02/2021 14:31,DUMMY ISIN 999,TSLA,Tesla,1,895,USD,1.37988,,648.6071253,,,,,,,Dummy Data,ABCABC,
Deposit,18/02/2021 14:36,DUMMY ISIN 999,,,,,,,,5000,,,5000,,,,Dummy Data,ABCABC,
Limit buy,18/02/2021 19:15,DUMMY ISIN 999,TSLA,Tesla,1,891,USD,1.39662,,637.9688104,,,,,,,Dummy Data,ABCABC,
Limit buy,19/02/2021 16:01,DUMMY ISIN 999,TSLA,Tesla,1,895,USD,1.40098,,638.8385273,,,,,,,Dummy Data,ABCABC,
Limit buy,22/02/2021 20:04,DUMMY ISIN 999,TSLA,Tesla,1,831,USD,1.407,,590.6183369,,,,,,,Dummy Data,ABCABC,
Deposit,18/03/2021 13:21,DUMMY ISIN 999,,,,,,,,5000,,,5000,,,,Dummy Data,ABCABC,
Limit buy,31/03/2021 13:41,DUMMY ISIN 999,TSLA,Tesla,1,737,USD,1.37762,,534.9806187,,,,,,,Dummy Data,ABCABC,
Dividend (Ordinary),01/04/2021 14:08,DUMMY ISIN 999,GS,Goldman Sachs Group,4,1.06,USD,Not available,,30,0.75,USD,,,,,Dummy Data,ABCABC,
Limit sell,17/05/2021 13:45,DUMMY ISIN 999,BTCE,Bitcoin ETP,13,41,EUR,1.16141,,458.9249275,,,,,,,Dummy Data,ABCABC,0.61
Limit buy,17/05/2021 13:46,DUMMY ISIN 999,TSLA,Tesla,1,666,USD,1.41048,,472.1796835,,,,,,,Dummy Data,ABCABC,0.63
Limit sell,14/06/2021 13:46,DUMMY ISIN 999,GS,Goldman Sachs Group,1,426,USD,1.41228,,301.6399014,,,,,0.01,0,Dummy Data,ABCABC,0.4
Limit sell,14/06/2021 13:47,DUMMY ISIN 999,GS,Goldman Sachs Group,1,427,USD,1.41208,,302.3907994,,,,,0.01,0,Dummy Data,ABCABC,0.4
Limit sell,14/06/2021 13:48,DUMMY ISIN 999,GS,Goldman Sachs Group,2,427,USD,1.41175,,604.9229679,,,,,0.01,0,Dummy Data,ABCABC,0.8
Dividend (Ordinary),01/07/2021 18:22,DUMMY ISIN 999,GS,Goldman Sachs Group,4,1.06,USD,Not available,,50,0.75,USD,,,,,Dummy Data,ABCABC,
Limit buy,27/07/2021 13:39,DUMMY ISIN 999,BABA,Alibaba,3,210,USD,1.38067,,456.3002021,,,,,,,Dummy Data,ABCABC,0.6
Market sell,02/08/2021 17:04,DUMMY ISIN 999,BABA,Alibaba,3,228,USD,1.3894,,492.298834,,,,,,,Dummy Data,ABCABC,0.65
Withdrawal,07/08/2021 14:31,DUMMY ISIN 999,,,,,,,,560,,,,,,,Dummy Data,ABCABC,
Limit buy,16/08/2021 15:51,DUMMY ISIN 999,COIN,Coinbase,1,200,USD,1.38498,,144.4064174,,,,,,,Dummy Data,ABCABC,0.28
Limit sell,11/10/2021 15:33,DUMMY ISIN 999,COIN,Coinbase,1,300,USD,1.363,,220.1027146,,,,,,,Dummy Data,ABCABC,0.29
Withdrawal,27/12/2021 10:24,DUMMY ISIN 999,,,,,,,,204.33,,,,,,,Dummy Data,ABCABC,
